country,generation,count_exports
Afghanistan,0,41
Afr.Other NS,0,9
Africa N.NES,0,0
Albania,0,90
Algeria,0,21
Angola,0,6
Areas NES,0,118
Argentina,0,163
Armenia,0,56
Asia NES,0,16
Asia West NS,0,5
Australia,0,151
Austria,0,297
Azerbaijan,0,55
Bahamas,0,40
Bahrain,0,51
Bangladesh,0,56
Barbados,0,54
Belarus,0,60
Belgium-Lux,0,308
Belize,0,38
Benin,0,30
Bermuda,0,39
Bolivia,0,75
Bosnia Herzg,0,93
Br.Antr.Terr,0,1
Brazil,0,200
Bulgaria,0,209
Burkina Faso,0,36
Burundi,0,10
CACM NES,0,1
Cambodia,0,38
Cameroon,0,22
Canada,0,195
Cent.Afr.Rep,0,13
Chad,0,8
Chile,0,106
China,0,247
China FTZ,0,98
China HK SAR,0,165
China MC SAR,0,52
Colombia,0,120
Congo,0,20
Costa Rica,0,64
Cote Divoire,0,51
Croatia,0,182
Cuba,0,38
Cyprus,0,109
Czech Rep,0,298
Dem.Rp.Congo,0,21
Denmark,0,207
Djibouti,0,15
Dominican Rp,0,83
EEC NES,0,8
Ecuador,0,73
Egypt,0,129
El Salvador,0,54
Eq.Guinea,0,9
Estonia,0,118
Ethiopia,0,33
Eur.Other NE,0,6
Falkland Is,0,15
Fiji,0,62
Finland,0,144
Fr Ind O,0,11
Fr.Guiana,0,1
"France,Monac",0,333
Gabon,0,14
Gambia,0,17
Georgia,0,77
Germany,0,354
Ghana,0,57
Gibraltar,0,25
Greece,0,206
Greenland,0,21
Guadeloupe,0,7
Guatemala,0,77
Guinea,0,24
GuineaBissau,0,36
Guyana,0,29
Haiti,0,45
Honduras,0,58
Hungary,0,195
Iceland,0,45
India,0,214
Indonesia,0,200
Iran,0,36
Iraq,0,3
Ireland,0,98
Israel,0,140
Italy,0,330
Jamaica,0,49
Japan,0,198
Jordan,0,98
Kazakhstan,0,74
Kenya,0,67
Kiribati,0,28
Korea D P Rp,0,134
Korea Rep.,0,167
Kuwait,0,15
Kyrgyzstan,0,77
LAIA NES,0,0
Lao P.Dem.R,0,42
Latvia,0,103
Lebanon,0,98
Liberia,0,11
Libya,0,16
Lithuania,0,138
Madagascar,0,64
Malawi,0,33
Malaysia,0,101
Mali,0,41
Malta,0,47
Mauritania,0,14
Mauritius,0,50
Mexico,0,145
Mongolia,0,51
Morocco,0,111
Mozambique,0,57
Myanmar,0,78
Nepal,0,53
Neth.Ant.Aru,0,29
Netherlands,0,266
Neutral Zone,0,2
New Calednia,0,20
New Zealand,0,144
Nicaragua,0,48
Niger,0,18
Nigeria,0,25
Norway,0,89
Occ.Pal.Terr,0,5
Oman,0,18
Oth.Oceania,0,24
Pakistan,0,106
Panama,0,113
Papua N.Guin,0,32
Paraguay,0,76
Peru,0,123
Philippines,0,98
Poland,0,285
Portugal,0,200
Qatar,0,16
Rep Moldova,0,98
Romania,0,178
Russian Fed,0,111
Rwanda,0,17
Samoa,0,11
Saudi Arabia,0,22
Senegal,0,49
Seychelles,0,15
Sierra Leone,0,39
Singapore,0,106
Slovakia,0,205
Slovenia,0,222
Somalia,0,17
South Africa,0,171
Spain,0,310
Sri Lanka,0,100
St.Helena,0,8
St.Kt-Nev-An,0,51
St.Pierre Mq,0,6
Sudan,0,32
Suriname,0,27
Sweden,0,206
Switz.Liecht,0,219
Syria,0,51
TFYR Macedna,0,82
Taiwan,0,176
Tajikistan,0,43
Tanzania,0,65
Thailand,0,207
Togo,0,27
Trinidad Tbg,0,35
Tunisia,0,122
Turkey,0,222
Turkmenistan,0,37
UK,0,264
US NES,0,34
USA,0,322
Uganda,0,33
Ukraine,0,182
Untd Arab Em,0,68
Uruguay,0,138
Uzbekistan,0,74
Venezuela,0,52
Viet Nam,0,123
Yemen,0,18
Yugoslavia,0,161
Zambia,0,37
Zimbabwe,0,84
Afghanistan,1,78
Afr.Other NS,1,13
Africa N.NES,1,0
Albania,1,167
Algeria,1,21
Angola,1,10
Areas NES,1,221
Argentina,1,206
Armenia,1,104
Asia NES,1,34
Asia West NS,1,19
Australia,1,188
Austria,1,373
Azerbaijan,1,88
Bahamas,1,54
Bahrain,1,87
Bangladesh,1,61
Barbados,1,129
Belarus,1,101
Belgium-Lux,1,367
Belize,1,83
Benin,1,51
Bermuda,1,70
Bolivia,1,106
Bosnia Herzg,1,150
Br.Antr.Terr,1,1
Brazil,1,285
Bulgaria,1,285
Burkina Faso,1,62
Burundi,1,25
CACM NES,1,2
Cambodia,1,57
Cameroon,1,30
Canada,1,277
Cent.Afr.Rep,1,17
Chad,1,9
Chile,1,143
China,1,289
China FTZ,1,145
China HK SAR,1,217
China MC SAR,1,66
Colombia,1,171
Congo,1,25
Costa Rica,1,99
Cote Divoire,1,67
Croatia,1,262
Cuba,1,64
Cyprus,1,190
Czech Rep,1,378
Dem.Rp.Congo,1,25
Denmark,1,294
Djibouti,1,27
Dominican Rp,1,110
EEC NES,1,25
Ecuador,1,93
Egypt,1,172
El Salvador,1,90
Eq.Guinea,1,14
Estonia,1,180
Ethiopia,1,42
Eur.Other NE,1,25
Falkland Is,1,32
Fiji,1,77
Finland,1,219
Fr Ind O,1,21
Fr.Guiana,1,1
"France,Monac",1,411
Gabon,1,26
Gambia,1,52
Georgia,1,147
Germany,1,381
Ghana,1,70
Gibraltar,1,34
Greece,1,290
Greenland,1,24
Guadeloupe,1,10
Guatemala,1,99
Guinea,1,27
GuineaBissau,1,70
Guyana,1,54
Haiti,1,68
Honduras,1,83
Hungary,1,276
Iceland,1,64
India,1,269
Indonesia,1,263
Iran,1,41
Iraq,1,3
Ireland,1,148
Israel,1,221
Italy,1,374
Jamaica,1,86
Japan,1,253
Jordan,1,150
Kazakhstan,1,81
Kenya,1,103
Kiribati,1,36
Korea D P Rp,1,216
Korea Rep.,1,234
Kuwait,1,17
Kyrgyzstan,1,139
LAIA NES,1,0
Lao P.Dem.R,1,59
Latvia,1,133
Lebanon,1,151
Liberia,1,15
Libya,1,16
Lithuania,1,182
Madagascar,1,82
Malawi,1,48
Malaysia,1,159
Mali,1,88
Malta,1,92
Mauritania,1,17
Mauritius,1,65
Mexico,1,224
Mongolia,1,61
Morocco,1,143
Mozambique,1,106
Myanmar,1,90
Nepal,1,75
Neth.Ant.Aru,1,52
Netherlands,1,331
Neutral Zone,1,3
New Calednia,1,26
New Zealand,1,215
Nicaragua,1,67
Niger,1,24
Nigeria,1,36
Norway,1,129
Occ.Pal.Terr,1,6
Oman,1,35
Oth.Oceania,1,69
Pakistan,1,127
Panama,1,143
Papua N.Guin,1,35
Paraguay,1,109
Peru,1,168
Philippines,1,140
Poland,1,354
Portugal,1,274
Qatar,1,40
Rep Moldova,1,152
Romania,1,244
Russian Fed,1,148
Rwanda,1,25
Samoa,1,31
Saudi Arabia,1,27
Senegal,1,72
Seychelles,1,18
Sierra Leone,1,95
Singapore,1,137
Slovakia,1,279
Slovenia,1,295
Somalia,1,27
South Africa,1,228
Spain,1,377
Sri Lanka,1,135
St.Helena,1,25
St.Kt-Nev-An,1,89
St.Pierre Mq,1,10
Sudan,1,37
Suriname,1,31
Sweden,1,270
Switz.Liecht,1,312
Syria,1,73
TFYR Macedna,1,114
Taiwan,1,252
Tajikistan,1,71
Tanzania,1,74
Thailand,1,291
Togo,1,44
Trinidad Tbg,1,44
Tunisia,1,173
Turkey,1,278
Turkmenistan,1,63
UK,1,339
US NES,1,60
USA,1,394
Uganda,1,39
Ukraine,1,257
Untd Arab Em,1,104
Uruguay,1,219
Uzbekistan,1,113
Venezuela,1,67
Viet Nam,1,142
Yemen,1,21
Yugoslavia,1,228
Zambia,1,62
Zimbabwe,1,121
Afghanistan,2,211
Afr.Other NS,2,38
Africa N.NES,2,0
Albania,2,281
Algeria,2,21
Angola,2,31
Areas NES,2,345
Argentina,2,347
Armenia,2,250
Asia NES,2,59
Asia West NS,2,155
Australia,2,333
Austria,2,423
Azerbaijan,2,142
Bahamas,2,176
Bahrain,2,198
Bangladesh,2,87
Barbados,2,267
Belarus,2,232
Belgium-Lux,2,442
Belize,2,212
Benin,2,187
Bermuda,2,185
Bolivia,2,208
Bosnia Herzg,2,258
Br.Antr.Terr,2,1
Brazil,2,421
Bulgaria,2,399
Burkina Faso,2,238
Burundi,2,148
CACM NES,2,8
Cambodia,2,119
Cameroon,2,73
Canada,2,384
Cent.Afr.Rep,2,51
Chad,2,82
Chile,2,275
China,2,401
China FTZ,2,307
China HK SAR,2,345
China MC SAR,2,180
Colombia,2,306
Congo,2,73
Costa Rica,2,243
Cote Divoire,2,164
Croatia,2,360
Cuba,2,96
Cyprus,2,301
Czech Rep,2,429
Dem.Rp.Congo,2,91
Denmark,2,396
Djibouti,2,170
Dominican Rp,2,248
EEC NES,2,148
Ecuador,2,206
Egypt,2,309
El Salvador,2,204
Eq.Guinea,2,50
Estonia,2,310
Ethiopia,2,114
Eur.Other NE,2,168
Falkland Is,2,171
Fiji,2,165
Finland,2,322
Fr Ind O,2,134
Fr.Guiana,2,1
"France,Monac",2,481
Gabon,2,151
Gambia,2,189
Georgia,2,288
Germany,2,462
Ghana,2,144
Gibraltar,2,182
Greece,2,383
Greenland,2,172
Guadeloupe,2,46
Guatemala,2,180
Guinea,2,62
GuineaBissau,2,219
Guyana,2,145
Haiti,2,180
Honduras,2,168
Hungary,2,365
Iceland,2,218
India,2,410
Indonesia,2,380
Iran,2,49
Iraq,2,3
Ireland,2,303
Israel,2,365
Italy,2,441
Jamaica,2,224
Japan,2,358
Jordan,2,270
Kazakhstan,2,198
Kenya,2,222
Kiribati,2,160
Korea D P Rp,2,343
Korea Rep.,2,359
Kuwait,2,20
Kyrgyzstan,2,255
LAIA NES,2,0
Lao P.Dem.R,2,123
Latvia,2,247
Lebanon,2,258
Liberia,2,58
Libya,2,18
Lithuania,2,309
Madagascar,2,113
Malawi,2,75
Malaysia,2,295
Mali,2,249
Malta,2,238
Mauritania,2,61
Mauritius,2,127
Mexico,2,365
Mongolia,2,116
Morocco,2,279
Mozambique,2,229
Myanmar,2,132
Nepal,2,191
Neth.Ant.Aru,2,198
Netherlands,2,449
Neutral Zone,2,12
New Calednia,2,123
New Zealand,2,313
Nicaragua,2,136
Niger,2,134
Nigeria,2,131
Norway,2,269
Occ.Pal.Terr,2,9
Oman,2,131
Oth.Oceania,2,222
Pakistan,2,247
Panama,2,273
Papua N.Guin,2,70
Paraguay,2,216
Peru,2,310
Philippines,2,257
Poland,2,428
Portugal,2,358
Qatar,2,87
Rep Moldova,2,281
Romania,2,353
Russian Fed,2,298
Rwanda,2,133
Samoa,2,44
Saudi Arabia,2,113
Senegal,2,94
Seychelles,2,38
Sierra Leone,2,237
Singapore,2,296
Slovakia,2,353
Slovenia,2,365
Somalia,2,106
South Africa,2,359
Spain,2,444
Sri Lanka,2,276
St.Helena,2,167
St.Kt-Nev-An,2,228
St.Pierre Mq,2,34
Sudan,2,48
Suriname,2,145
Sweden,2,367
Switz.Liecht,2,398
Syria,2,139
TFYR Macedna,2,223
Taiwan,2,358
Tajikistan,2,166
Tanzania,2,170
Thailand,2,394
Togo,2,191
Trinidad Tbg,2,115
Tunisia,2,309
Turkey,2,368
Turkmenistan,2,99
UK,2,435
US NES,2,160
USA,2,472
Uganda,2,133
Ukraine,2,366
Untd Arab Em,2,197
Uruguay,2,336
Uzbekistan,2,237
Venezuela,2,186
Viet Nam,2,284
Yemen,2,42
Yugoslavia,2,330
Zambia,2,194
Zimbabwe,2,256
Afghanistan,3,322
